lang	filename	speaker	gend	item	inform	itemdur	f0md	f0mn	f0sd	f0hzq05	f0hzq95	f0stq05	f0stq95	f0strange	intmd	intmn	intsd
Austrian	F01_T1086_ch2	AF01	female	12a	inform	22.105547785709604	215.46434485004224	219.66530977559896	26.983106377093552	180.34013829924135	268.390027686536	89.93492063920526	96.81824621110378	6.883325571898524	58.28132808758006	66.2589039005963	11.404842881655627
Austrian	F01_T1086_ch2	AF01	female	12b	pol	17.55974407959772	207.01937944762224	209.59938385503082	28.53682467515235	171.78792427610875	264.1459476410384	89.09381772095605	96.54229688305124	7.4484791620951825	61.973536684478205	68.21629701360443	11.438897591014138
Austrian	F01_T1086_ch2	AF01	female	11a	inform	15.048912912459173	211.32056082996638	214.47712382023605	25.15243404434568	174.09748236176412	258.99882149083567	89.32501528931958	96.20162066627029	6.876605376950707	64.54948620187805	69.68882078035773	12.288720098673561
Austrian	F01_T1086_ch2	AF01	female	11b	pol	14.896329818819652	212.4315287308421	214.09047918672417	28.310492849413066	168.33870326283534	260.71621665731595	88.74267665431529	96.31603388708932	7.573357232774029	60.95829951664926	67.33440005725362	13.150694026221556
Austrian	F01_T1086_ch2	AF01	female	1a	pol	11.938342254616714	215.32798023662622	214.67117467032122	25.317461049019904	171.3064099391221	257.78329138719675	89.04521596404041	96.12017155004258	7.074955586002176	59.87461477631816	66.0334089350167	10.685166144453497
Austrian	F01_T1086_ch2	AF01	female	1b	inform	9.29236098194201	208.4453879993565	210.8839711771913	29.94143167499582	163.88990023759942	259.7573380163926	88.27899703175402	96.25224102927014	7.973243997516121	60.95171937097007	65.82951100684738	11.040477644142356
Austrian	F01_T1086_ch2	AF01	female	2a	pol	4.1588635297189285	214.83305350562097	216.34852981224245	23.274892964898225	168.69980370919245	260.63432565325303	88.77956985668386	96.31054888238769	7.530979025703829	58.85026964286258	64.86510886323642	11.011984211831244
Austrian	F01_T1086_ch2	AF01	female	2b	inform	5.298449208961927	214.83512618071262	215.2745985640357	28.734174312268255	163.82728155687806	258.43342181775	88.27237321011893	96.16378039535596	7.891407185237028	61.48450154783471	67.41556100921994	11.57346318213333
Austrian	F01_T1086_ch2	AF01	female	3a	pol	8.49199285389318	203.3906411150194	205.4331852759222	19.480290560494968	179.18983645582608	244.2710057931951	89.82414000145602	95.18748319885523	5.363343197399217	59.04858309973702	65.45168722320678	11.387740291530747
Austrian	F01_T1086_ch2	AF01	female	3b	inform	4.4472291459485405	193.43866744537243	197.3381091698573	20.14132195486788	172.03574287803934	228.61660871147564	89.118766943689	94.04109580867798	4.922328864988984	62.390439735800314	65.974751051578	9.252334304909581
Austrian	F01_T1086_ch2	AF01	female	4a	pol	10.192452131240316	211.3844000810542	211.8844217895612	24.266247416270502	175.69211241617035	253.73201309441893	89.48286388245408	95.84593561118223	6.363071728728144	59.31154389371089	66.66122791548133	11.068132868754605
Austrian	F01_T1086_ch2	AF01	female	4b	inform	7.641341045336844	202.66749714800983	203.81439960555386	24.231277758155752	163.63959455897407	246.24051827532926	88.25252900343317	95.32708903899068	7.074560035557511	62.00960812729238	66.09019444706672	10.340510399732473
Austrian	F01_T1086_ch2	AF01	female	5a	pol	10.543350435971888	195.11987186215566	196.71618140809855	20.217869206849596	162.0697918853138	233.23724146505023	88.0856549722136	94.38785128738833	6.302196315174726	59.12659782090309	66.80740712164665	11.99175234153765
Austrian	F01_T1086_ch2	AF01	female	5b	inform	7.485833466443751	192.44969325227103	195.51789635257276	24.933013438122025	163.50601352003451	256.57687949420335	88.23814753818691	96.03847244057907	7.800324902392163	61.60026670634856	66.4809076616647	11.230467097183455
Austrian	F01_T1086_ch2	AF01	female	6a	pol	6.160025112919698	211.1552214117155	210.9732867142874	30.68149518540824	174.48824569249757	251.83188091842786	89.36375704304706	95.71580548210014	6.352048439053078	60.45799786163687	65.52599678077046	10.566092159243507
Austrian	F01_T1086_ch2	AF01	female	6b	inform	5.78680568577272	223.91782262890177	223.8998528814079	25.789174772107142	176.96976773661683	267.7756167250098	89.60812332613098	96.77855831516862	7.170434989037645	59.59525775909557	65.46988184721748	10.360475647392732
Austrian	F02_T1088_ch2	AF02	female	12a	inform	39.76565229517735	254.00977047262577	258.961172054653	29.844448501972792	218.6666029176422	317.3597084692897	93.27106896130913	99.71970001254935	6.448631051240227	61.32155115776214	67.20199090796213	13.840300650514784
Austrian	F02_T1088_ch2	AF02	female	12b	pol	30.731718860685874	253.20248885653086	255.5281384435558	22.86654757281599	223.09555077413762	299.74699341256564	93.61821117993256	98.73121758820557	5.113006408273009	59.465204733832174	65.3633400519606	14.887516471868144
Austrian	F02_T1088_ch2	AF02	female	11a	inform	19.467102445542423	270.22260102648016	275.7180825668999	38.10125864860896	219.66235164615009	346.7818629931596	93.34972372361399	101.25461152475933	7.904887801145335	62.80306401693147	66.50955318447498	15.029055242801077
Austrian	F02_T1088_ch2	AF02	female	11b	pol	21.405978659940786	253.48071213199154	257.3773611184794	29.551311648086994	215.24630958963087	319.1367072344201	92.99813618990565	99.81636838351916	6.818232193613511	60.43898984792424	65.62875732209838	13.403306704691989
Austrian	F02_T1088_ch2	AF02	female	1a	pol	34.3808839120814	250.82329352688564	256.55048876950974	28.20819624178577	215.93968816241326	312.2238150570435	93.05381179873531	99.43723916429225	6.3834273655569405	59.597823766041664	64.55690537450779	13.35207302548714
Austrian	F02_T1088_ch2	AF02	female	1b	inform	17.916860897968377	252.5808548437112	256.5372167414204	27.597039248433028	218.72229160190633	307.43353834117175	93.27547743194556	99.1695678702948	5.894090438349238	59.52197139721916	64.63088348356992	13.596873335875998
Austrian	F02_T1088_ch2	AF02	female	2a	pol	13.841825052159379	252.71842255092744	256.2755596418524	23.713205143741476	222.63352260795608	300.93849736073577	93.58231471190899	98.79989721499125	5.217582503082255	59.715892266528726	65.03259982685681	13.409814266129974
Austrian	F02_T1088_ch2	AF02	female	2b	inform	17.286093230245797	254.01135398543025	260.25809444106727	25.25107246149473	228.81178938239594	310.2845713915575	94.05620503829616	99.32937741067124	5.273172372375086	59.12546023421704	64.95077646777312	14.094283680771927
Austrian	F02_T1088_ch2	AF02	female	3a	pol	9.725755759536355	267.0676634706531	271.7394246801021	31.71239771698797	221.7409074814856	329.70907877132805	93.51274367880218	100.38059707791248	6.867853399110302	62.17150099589777	66.031439405204	14.313877080966165
Austrian	F02_T1088_ch2	AF02	female	3b	inform	2.831997136418977	321.5574064408434	336.373015856147	43.576165606506514	283.8469484348062	420.13886590985123	97.78763305654611	104.57666927751963	6.7890362209735144	65.86795910228196	69.75318344647913	13.945637977127841
Austrian	F02_T1088_ch2	AF02	female	4a	pol	24.85854600702703	253.96935126559828	260.8544029331852	29.81330128533553	221.2919737815726	317.3416451833155	93.47768777338774	99.71871183017589	6.241024056788149	58.74980234742519	64.91419527833185	14.470046403388944
Austrian	F02_T1088_ch2	AF02	female	4b	inform	11.598648355052205	295.28595414171775	298.5640041636391	44.2689469865731	234.85449178889434	374.2669015707206	94.50747748873637	102.57508300403761	8.067605515301238	57.88117677844951	67.64117913543036	16.74626477601346
Austrian	F02_T1088_ch2	AF02	female	5a	pol	14.514417883656392	267.1256557421795	267.11954383750174	34.03728053324199	217.49774772473776	324.5779298868932	93.17827918113537	100.10905210595104	6.93077292481567	62.12768575524664	66.78125138672483	15.940241580819501
Austrian	F02_T1088_ch2	AF02	female	5b	inform	15.076880600395043	245.6447290274781	253.15559764340793	35.249563718571046	211.97082859630223	335.55775068903455	92.73266285464439	100.68500501454277	7.952342159898379	58.120742245510954	64.40131923546366	14.107710328840847
Austrian	F02_T1088_ch2	AF02	female	6a	pol	6.304494345070793	259.5812149291736	261.96238498495234	32.32693324764421	224.1636900973411	333.72893959476875	93.70090166373066	100.59039576553684	6.889494101806179	60.134422871062846	65.6117539071377	14.514443412429255
Austrian	F02_T1088_ch2	AF02	female	6b	inform	4.397761900446767	257.7943129965146	265.9921455586727	33.05614513311209	213.96855628300165	326.59273100587393	92.89499284337998	100.21598279119827	7.3209899478182905	57.966661705056964	63.0981545493836	11.377201947175147
Austrian	F03_T1090_ch2	AF03	female	12a	inform	25.453734792752783	218.7705671895846	224.34780664407472	27.6599356019111	192.13204841410018	280.01072416303333	91.03145172038785	97.55205299863883	6.520601278250979	56.11624483662072	61.44745677731421	11.222150289315056
Austrian	F03_T1090_ch2	AF03	female	12b	pol	23.965645185171894	209.68037213053577	213.85523849364097	19.763636225204795	193.34874944755552	254.85650123992295	91.1407393742424	95.92249614845504	4.781756774212639	55.445271931799816	60.49860302385592	10.492219887742866
